wording,openness,response
allow,0.8481129346363362,No
allow,-0.7574622333594379,Yes
allow,-0.16757471554410736,Yes
allow,0.36224425278379807,Yes
allow,-0.6898626673346901,Yes
allow,-1.8366231068468304,No
allow,-2.35309257314316,Yes
forbid,0.11634041379308341,Yes
forbid,0.26313334095078866,Yes
forbid,-0.0218778618124084,Yes
forbid,1.5650883429129558,No
forbid,-0.47598601789462447,No
forbid,-0.5707913222725398,No
forbid,0.08806444593250547,Yes
forbid,-0.15512006532183473,Yes
forbid,0.2503865376743392,No
forbid,-0.9445019436747399,Yes
forbid,-0.31402782751572117,No
forbid,-0.07335118020917522,Yes
forbid,-0.6885390191208829,Yes
forbid,2.5077773568419497,No
forbid,3.6153818057610905,No
forbid,0.31378405365529594,No
forbid,1.1361921366361232,No
forbid,0.14118461389810702,No
forbid,0.0916060297044035,No
forbid,0.25568428640053587,No
forbid,1.237697113724683,No
forbid,0.2865233778742606,No
forbid,-1.593691451286967,Yes
forbid,-0.6165099794129103,Yes
forbid,0.882577061641729,No
forbid,-0.6224384201211377,Yes
forbid,-0.8986598216337177,No
forbid,1.5772265126599732,No
forbid,0.07955045457682713,No
forbid,-4.523051380451456,Yes
forbid,-0.2619699747504725,No
forbid,-1.2238442523703144,No
forbid,0.13746913512843403,Yes
forbid,0.8757126676713111,No
forbid,1.0258150689350787,Yes
forbid,-0.7384026681605889,No
forbid,-0.3411611204514529,No
forbid,0.5567606768329267,Yes
forbid,-1.372868125272144,Yes
forbid,-0.1499103745335752,Yes
forbid,2.022106352636754,No
forbid,-1.375823105270256,Yes
forbid,0.1720276571155188,Yes
forbid,-1.674381619107972,Yes
forbid,-0.29605208057099225,Yes
forbid,-1.9323268916958298,Yes
forbid,0.47891308634453295,No
forbid,0.9127031086158335,Yes
forbid,0.74912318037515635,Yes
forbid,1.1883599410335446,No
forbid,-0.03927091080878139,No
forbid,1.3988862915695472,No
forbid,-0.22307335861539304,Yes
forbid,0.41899205412828167,No
forbid,0.49577944876757624,No
forbid,-3.5561835264710524,Yes
forbid,-0.8197630642016127,No
forbid,-2.2902482401414166,Yes
forbid,0.19926807499382068,No
forbid,-2.5833053742664474,Yes
forbid,-0.5757595080270164,Yes
forbid,1.2454983800027424,No
forbid,0.11056133878782333,No
forbid,-1.0423089705213113,No
forbid,1.5126495062799672,No
forbid,0.4689367733949754,No
forbid,1.2499865759313638,No
forbid,-0.4648359090328364,No
forbid,0.40418324796107735,Yes
forbid,0.5840437889207474,Yes
forbid,1.5297566943538379,No
forbid,-2.0257917001212378,Yes
forbid,0.478520852995538,No
forbid,1.6080649988732296,No
forbid,0.9268817221843716,No
forbid,1.0779999771766757,No
forbid,2.147513911189551,No
forbid,-2.5713345804468717,Yes
forbid,-0.773104371582079,Yes
forbid,1.4978050440503134,No
forbid,-0.47436607458157887,No
forbid,0.31635464042545697,Yes
forbid,0.5784291912420367,Yes
forbid,0.38387695802032246,No
forbid,0.09298074827770365,Yes
forbid,-1.3756430777179527,Yes
forbid,1.4117853520181287,No
forbid,2.1620505767676,Yes
forbid,2.328582685782858,Yes
forbid,-0.16430015550156768,Yes
forbid,-2.209688449687991,No
forbid,-0.11379087248332395,No
forbid,0.7625777085917728,Yes
forbid,-0.09331962295175812,Yes
forbid,0.09656139916978394,Yes
forbid,0.9967890422158906,No
forbid,1.408815287318023,No
forbid,-0.30877893922392646,Yes
forbid,-1.1922119504241175,Yes
forbid,2.0069136985950964,No
